[SYNCPILOT | CPU  8] Layer 2 memproses Frame  30 | Waktu: 0.01395 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  27 | Waktu: 0.00422 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  29 | Waktu: 0.00451 detik
[SYNCPILOT | CPU  9] Layer 5 memproses Frame  28 | Waktu: 0.00410 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  26 | Waktu: 0.01166 detik
[SYNCPILOT | CPU  8] Layer 3 memproses Frame  30 | Waktu: 0.00459 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  29 | Waktu: 0.00453 detik
[SYNCPILOT | CPU  9] Layer 6 memproses Frame  28 | Waktu: 0.00419 detik
[SYNCPILOT | CPU 13] Layer 8 memproses Frame   1 | Waktu: 0.08224 detik
[SYNCPILOT | CPU 14] Layer 8 memproses Frame   9 | Waktu: 0.08435 detik
[SYNCPILOT | CPU  8] Layer 4 memproses Frame  30 | Waktu: 0.00408 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  29 | Waktu: 0.00400 detik
[SYNCPILOT | CPU 10] Layer 8 memproses Frame  20 | Waktu: 0.08191 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  27 | Waktu: 0.01199 detik
[SYNCPILOT | CPU  8] Layer 5 memproses Frame  30 | Waktu: 0.00421 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  29 | Waktu: 0.00420 detik
[SYNCPILOT | CPU 13] Layer 1 memproses Frame  31 | Waktu: 0.00815 detik
[SYNCPILOT | CPU 12] Layer 8 memproses Frame  17 | Waktu: 0.08796 detik
[SYNCPILOT | CPU  8] Layer 6 memproses Frame  30 | Waktu: 0.00335 detik
[SYNCPILOT | CPU 14] Layer 1 memproses Frame  32 | Waktu: 0.00819 detik
[SYNCPILOT | CPU 11] Layer 8 memproses Frame   8 | Waktu: 0.09077 detik
[SYNCPILOT | CPU  9] Layer 7 memproses Frame  28 | Waktu: 0.01270 detik
[SYNCPILOT | CPU 10] Layer 1 memproses Frame  33 | Waktu: 0.00812 detik
[SYNCPILOT | CPU 12] Layer 1 memproses Frame  34 | Waktu: 0.00823 detik
[SYNCPILOT | CPU 11] Layer 1 memproses Frame  35 | Waktu: 0.00823 detik
[SYNCPILOT | CPU  8] Layer 7 memproses Frame  30 | Waktu: 0.01153 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  29 | Waktu: 0.01448 detik
[SYNCPILOT | CPU 13] Layer 2 memproses Frame  31 | Waktu: 0.01872 detik
[SYNCPILOT | CPU 14] Layer 2 memproses Frame  32 | Waktu: 0.01884 detik
[SYNCPILOT | CPU 10] Layer 2 memproses Frame  33 | Waktu: 0.01925 detik
[SYNCPILOT | CPU  0] Layer 8 memproses Frame  18 | Waktu: 0.08552 detik
[SYNCPILOT | CPU 13] Layer 3 memproses Frame  31 | Waktu: 0.00903 detik
[SYNCPILOT | CPU 12] Layer 2 memproses Frame  34 | Waktu: 0.02014 detik
[SYNCPILOT | CPU 14] Layer 3 memproses Frame  32 | Waktu: 0.00893 detik
[SYNCPILOT | CPU 11] Layer 2 memproses Frame  35 | Waktu: 0.01959 detik
[SYNCPILOT | CPU 19] Layer 8 memproses Frame  22 | Waktu: 0.05026 detik
[SYNCPILOT | CPU 10] Layer 3 memproses Frame  33 | Waktu: 0.00860 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  36 | Waktu: 0.00820 detik
[SYNCPILOT | CPU 19] Layer 1 memproses Frame  37 | Waktu: 0.00293 detik
[SYNCPILOT | CPU 13] Layer 4 memproses Frame  31 | Waktu: 0.00823 detik
[SYNCPILOT | CPU 12] Layer 3 memproses Frame  34 | Waktu: 0.00839 detik
[SYNCPILOT | CPU 17] Layer 8 memproses Frame  23 | Waktu: 0.05594 detik
[SYNCPILOT | CPU 14] Layer 4 memproses Frame  32 | Waktu: 0.00833 detik
[SYNCPILOT | CPU 11] Layer 3 memproses Frame  35 | Waktu: 0.00839 detik
[SYNCPILOT | CPU 17] Layer 1 memproses Frame  38 | Waktu: 0.00295 detik
[SYNCPILOT | CPU 10] Layer 4 memproses Frame  33 | Waktu: 0.00873 detik
[SYNCPILOT | CPU 16] Layer 8 memproses Frame  21 | Waktu: 0.06106 detik
[SYNCPILOT | CPU 13] Layer 5 memproses Frame  31 | Waktu: 0.00841 detik
[SYNCPILOT | CPU 19] Layer 2 memproses Frame  37 | Waktu: 0.00950 detik
[SYNCPILOT | CPU 12] Layer 4 memproses Frame  34 | Waktu: 0.00865 detik
[SYNCPILOT | CPU 16] Layer 1 memproses Frame  39 | Waktu: 0.00292 detik
[SYNCPILOT | CPU 14] Layer 5 memproses Frame  32 | Waktu: 0.00844 detik
[SYNCPILOT | CPU 11] Layer 4 memproses Frame  35 | Waktu: 0.00855 detik
[SYNCPILOT | CPU 19] Layer 3 memproses Frame  37 | Waktu: 0.00328 detik
[SYNCPILOT | CPU 15] Layer 8 memproses Frame  25 | Waktu: 0.06592 detik
[SYNCPILOT | CPU 10] Layer 5 memproses Frame  33 | Waktu: 0.00864 detik
[SYNCPILOT | CPU 17] Layer 2 memproses Frame  38 | Waktu: 0.00999 detik
[SYNCPILOT | CPU 19] Layer 4 memproses Frame  37 | Waktu: 0.00329 detik
[SYNCPILOT | CPU 15] Layer 1 memproses Frame  40 | Waktu: 0.00295 detik
[SYNCPILOT | CPU  0] Layer 2 memproses Frame  36 | Waktu: 0.01864 detik
[SYNCPILOT | CPU 13] Layer 6 memproses Frame  31 | Waktu: 0.00878 detik
[SYNCPILOT | CPU 18] Layer 8 memproses Frame  24 | Waktu: 0.07054 detik
[SYNCPILOT | CPU 12] Layer 5 memproses Frame  34 | Waktu: 0.00900 detik
[SYNCPILOT | CPU 17] Layer 3 memproses Frame  38 | Waktu: 0.00357 detik
[SYNCPILOT | CPU 19] Layer 5 memproses Frame  37 | Waktu: 0.00342 detik
[SYNCPILOT | CPU 14] Layer 6 memproses Frame  32 | Waktu: 0.00920 detik
[SYNCPILOT | CPU 11] Layer 5 memproses Frame  35 | Waktu: 0.00931 detik
[SYNCPILOT | CPU 18] Layer 1 memproses Frame  41 | Waktu: 0.00296 detik
[SYNCPILOT | CPU 16] Layer 2 memproses Frame  39 | Waktu: 0.01103 detik
[SYNCPILOT | CPU 17] Layer 4 memproses Frame  38 | Waktu: 0.00355 detik
[SYNCPILOT | CPU 19] Layer 6 memproses Frame  37 | Waktu: 0.00344 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  26 | Waktu: 0.07020 detik
[SYNCPILOT | CPU 10] Layer 6 memproses Frame  33 | Waktu: 0.00951 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame  36 | Waktu: 0.00847 detik
[SYNCPILOT | CPU 16] Layer 3 memproses Frame  39 | Waktu: 0.00365 detik
[SYNCPILOT | CPU 17] Layer 5 memproses Frame  38 | Waktu: 0.00346 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  42 | Waktu: 0.00295 detik
[SYNCPILOT | CPU  1] Layer 8 memproses Frame  15 | Waktu: 0.11204 detik
[SYNCPILOT | CPU 15] Layer 2 memproses Frame  40 | Waktu: 0.01115 detik
[SYNCPILOT | CPU 12] Layer 6 memproses Frame  34 | Waktu: 0.00939 detik
[SYNCPILOT | CPU 16] Layer 4 memproses Frame  39 | Waktu: 0.00329 detik
[SYNCPILOT | CPU 17] Layer 6 memproses Frame  38 | Waktu: 0.00324 detik
[SYNCPILOT | CPU 11] Layer 6 memproses Frame  35 | Waktu: 0.00900 detik
[SYNCPILOT | CPU 15] Layer 3 memproses Frame  40 | Waktu: 0.00331 detik
[SYNCPILOT | CPU 19] Layer 7 memproses Frame  37 | Waktu: 0.00874 detik
[SYNCPILOT | CPU 18] Layer 2 memproses Frame  41 | Waktu: 0.00990 detik
[SYNCPILOT | CPU  9] Layer 8 memproses Frame  28 | Waktu: 0.06313 detik
[SYNCPILOT | CPU 16] Layer 5 memproses Frame  39 | Waktu: 0.00305 detik
[SYNCPILOT | CPU 15] Layer 4 memproses Frame  40 | Waktu: 0.00307 detik
[SYNCPILOT | CPU  0] Layer 4 memproses Frame  36 | Waktu: 0.00845 detik
[SYNCPILOT | CPU 18] Layer 3 memproses Frame  41 | Waktu: 0.00306 detik
[SYNCPILOT | CPU  9] Layer 1 memproses Frame  44 | Waktu: 0.00291 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame   5 | Waktu: 0.11973 detik
[SYNCPILOT | CPU 16] Layer 6 memproses Frame  39 | Waktu: 0.00300 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  43 | Waktu: 0.00810 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  42 | Waktu: 0.00923 detik
[SYNCPILOT | CPU 15] Layer 5 memproses Frame  40 | Waktu: 0.00302 detik
[SYNCPILOT | CPU  3] Layer 8 memproses Frame   2 | Waktu: 0.12243 detik
[SYNCPILOT | CPU 17] Layer 7 memproses Frame  38 | Waktu: 0.00817 detik
[SYNCPILOT | CPU 18] Layer 4 memproses Frame  41 | Waktu: 0.00312 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  42 | Waktu: 0.00353 detik
